check,description,criteria
1,design,explore data and look for patterns
2,identification,imagine variables that can become key factors
3,research,check the publish literature on the topic
4,plan,write hypothesis and predictions
5,test,test the data with plots and statistics
6,check,do you have what you need or do you need other data
7,learn ,check short research note papers to see style and writing
8,plot,make a single clear plot of data that summarizing key finding
9,write,write up paper
10,innovation,list ideas for future experiments and implications
