city,species,n,number_per_party_hrs
Toronto,Canada Goose,"1,643",7.3843
Toronto,Mute Swan,61,0.2742
Toronto,Trumpeter Swan,50,0.2247
Toronto,Wood Duck,6,0.0270
Toronto,Gadwall,121,0.5438
Toronto,American Wigeon,37,0.1663
Toronto,American Black Duck,39,0.1753
Toronto,Mallard,"2,478",11.1371
Toronto,Northern Shoveler,1,0.0045
Toronto,Northern Pintail,1,0.0045
Toronto,Redhead,305,1.3708
Toronto,Ring-necked Duck,1,0.0045
Toronto,Greater Scaup,"1,216",5.4652
Toronto,Lesser Scaup,7,0.0315
Toronto,White-winged Scoter,113,0.5079
Toronto,Black Scoter,2,0.0090
Toronto,Long-tailed Duck,"3,130",14.0674
Toronto,Bufflehead,369,1.6584
Toronto,Common Goldeneye,915,4.1124
Toronto,Hooded Merganser,45,0.2022
Toronto,Common Merganser,152,0.6831
Toronto,Red-breasted Merganser,347,1.5596
Toronto,merganser sp.,11,0.0494
Toronto,Ruffed Grouse,1,0.0045
Toronto,Common Loon,1,0.0045
Toronto,Horned Grebe,2,0.0090
Toronto,Double-crested Cormorant,2,0.0090
Toronto,Great Blue Heron (Blue form),11,0.0494
Toronto,Black-crowned Night-Heron,5,0.0225
Toronto,Turkey Vulture,1,0.0045
Toronto,Sharp-shinned Hawk,3,0.0135
Toronto,Cooper's Hawk,20,0.0899
Toronto,Accipiter sp.,1,0.0045
Toronto,Red-tailed Hawk,100,0.4494
Toronto,Dunlin,1,0.0045
Toronto,Purple Sandpiper,1,0.0045
Toronto,Ring-billed Gull,"1,468",6.5978
Toronto,Herring Gull,368,1.6539
Toronto,Iceland Gull,1,0.0045
Toronto,Lesser Black-backed Gull,2,0.0090
Toronto,Great Black-backed Gull,12,0.0539
Toronto,Rock Pigeon (Feral Pigeon),"4,025",18.0899
Toronto,Mourning Dove,129,0.5798
Toronto,Eastern Screech-Owl,3,0.0135
Toronto,Belted Kingfisher,3,0.0135
Toronto,Red-bellied Woodpecker,15,0.0674
Toronto,Downy Woodpecker,177,0.7955
Toronto,Hairy Woodpecker,57,0.2562
Toronto,Pileated Woodpecker,1,0.0045
Toronto,American Kestrel,7,0.0315
Toronto,Merlin,4,0.0180
Toronto,Peregrine Falcon,5,0.0225
Toronto,Blue Jay,83,0.3730
Toronto,American Crow,90,0.4045
Toronto,Common Raven,8,0.0360
Toronto,Black-capped Chickadee,505,2.2697
Toronto,Red-breasted Nuthatch,33,0.1483
Toronto,White-breasted Nuthatch,89,0.4000
Toronto,Brown Creeper,12,0.0539
Toronto,Winter Wren,9,0.0404
Toronto,Carolina Wren,6,0.0270
Toronto,Golden-crowned Kinglet,11,0.0494
Toronto,Eastern Bluebird,2,0.0090
Toronto,Swainson's Thrush,1,0.0045
Toronto,Hermit Thrush,6,0.0270
Toronto,American Robin,929,4.1753
Toronto,Brown Thrasher,1,0.0045
Toronto,Northern Mockingbird,10,0.0449
Toronto,European Starling,"12,664",56.9169
Toronto,Yellow-rumped Warbler (Myrtle),1,0.0045
Toronto,American Tree Sparrow,42,0.1888
Toronto,Fox Sparrow,1,0.0045
Toronto,Dark-eyed Junco (Slate-colored),329,1.4787
