simple_date,year,steps,mins_asleep,efficiency
2011-01-24,2011,22260,504,99
2011-01-25,2011,13900,481,96
2011-01-26,2011,19229,478,96
2011-01-27,2011,13103,474,96
2011-01-28,2011,7374,491,96
2011-01-29,2011,19132,436,96
2011-01-30,2011,17157,447,98
2011-01-31,2011,19759,456,99
2011-02-01,2011,18157,455,98
2011-02-02,2011,8768,465,97
2011-02-03,2011,9150,411,98
2011-02-04,2011,10094,490,99
2011-02-05,2011,19923,475,96
2011-02-07,2011,16503,505,94
2011-02-08,2011,14353,369,97
2011-02-09,2011,9965,472,93
2011-02-10,2011,20882,402,96
2011-02-11,2011,20585,456,98
2011-02-12,2011,6457,503,99
2011-02-14,2011,11877,482,98
2011-02-15,2011,19842,405,94
2011-02-16,2011,20758,442,95
2011-02-17,2011,15499,391,100
2011-02-18,2011,16929,369,98
2011-02-19,2011,19658,459,94
2011-02-20,2011,7639,356,100
2011-02-20,2011,7639,356,100
2011-02-23,2011,17201,502,93
2011-02-24,2011,19821,472,93
2011-02-25,2011,16303,429,93
2011-02-26,2011,9607,463,95
2011-02-27,2011,21666,488,99
2011-02-28,2011,20480,452,98
2011-03-01,2011,10313,473,100
2011-03-02,2011,8406,473,92
2011-03-03,2011,17580,411,96
2011-03-04,2011,18612,521,98
2011-03-05,2011,14256,448,99
2011-03-06,2011,13573,374,98
2011-03-08,2011,20419,412,100
2011-03-12,2011,17207,311,98
2011-03-14,2011,15386,452,96
2011-03-15,2011,19773,431,93
2011-03-16,2011,15172,419,99
2011-03-17,2011,14961,494,99
2011-03-20,2011,16909,488,99
2011-03-21,2011,21371,453,97
2011-03-22,2011,17443,431,98
2011-03-22,2011,17443,431,98
2011-03-23,2011,10854,445,98
2011-03-24,2011,17736,459,98
2011-03-25,2011,16357,397,97
2011-03-26,2011,17743,460,97
2011-03-27,2011,11313,464,97
2011-03-28,2011,21676,471,97
2011-03-29,2011,15927,478,99
2011-03-30,2011,11040,453,99
2011-03-31,2011,22471,411,94
2011-04-01,2011,16908,445,97
2011-04-02,2011,24754,448,100
2011-04-03,2011,11932,446,97
2011-04-04,2011,23661,483,98
2011-04-05,2011,20876,457,98
2011-04-06,2011,20127,373,98
2011-04-07,2011,9274,487,95
2011-04-08,2011,19724,451,97
2011-04-09,2011,19312,536,98
2011-04-10,2011,17982,474,99
2011-04-11,2011,22837,510,99
2011-04-12,2011,12942,410,96
2011-04-13,2011,21591,480,100
2011-04-14,2011,21298,509,98
2011-04-15,2011,13753,504,96
